Data, Macchina, Messaggio
05-11-2025 12-02-43,SKIP - FR3,"ERROR | Endpoint: /start_skip_automation | Type: TypeError | Message: `data` must be a pandas DataFrame or dict[str, DataFrame]."
05-11-2025 12-43-41,SKIP - FR3,"ERROR | Location: /opt/classificazionepec/SKIP_AUTOM/microservices/inps-crm-analysis-orchestrator/app/utils/utility.py, line 496, in save_dataset_to_excel | Type: TypeError | Message: `data` must be a pandas DataFrame or dict[str, DataFrame]."
05-11-2025 12-51-56,SKIP - FR3,"ERROR | Location: /opt/classificazionepec/SKIP_AUTOM/microservices/inps-crm-analysis-orchestrator/app/call/call_blacklist_prediction.py, line 73, in call_blacklist_predictions | Type: RuntimeError | Message: failed with status code: 422"
25-11-2025 15-15-46,SKIP - FR3,"ERROR | Location: /opt/classificazionepec/SKIP_AUTOM/microservices/inps-crm-analysis-orchestrator/app/call/call_blacklist_extraction.py, line 52, in call_extraction_blacklist | Type: RuntimeError | Message: Failed with status code: 500: {""Status"":""Blacklist extraction error!"",""Detail"":""Can only use .dt accessor with datetimelike values""}"
25-11-2025 15-25-13,SKIP - FR3,"ERROR | Location: /usr/lib64/python3.9/bdb.py, line 174, in dispatch_exception | Type: BdbQuit | Message: "
25-11-2025 15-30-20,SKIP - FR3,"ERROR | Location: /usr/lib64/python3.9/bdb.py, line 174, in dispatch_exception | Type: BdbQuit | Message: "
25-11-2025 15-31-39,SKIP - FR3,"ERROR | Location: /usr/lib64/python3.9/bdb.py, line 174, in dispatch_exception | Type: BdbQuit | Message: "
25-11-2025 15-39-40,SKIP - FR3,"ERROR | Location: /usr/lib64/python3.9/bdb.py, line 154, in dispatch_return | Type: BdbQuit | Message: "
25-11-2025 15-59-25,SKIP - FR3,"ERROR | Location: /opt/classificazionepec/SKIP_AUTOM/microservices/inps-crm-analysis-orchestrator/app/call/call_blacklist_extraction.py, line 52, in call_extraction_blacklist | Type: RuntimeError | Message: Failed with status code: 500: {""Status"":""Blacklist extraction error!"",""Detail"":""""}"
25-11-2025 16-04-11,SKIP - FR3,"ERROR | Location: /opt/classificazionepec/SKIP_AUTOM/venv9_skip/lib64/python3.9/site-packages/requests/adapters.py, line 682, in send | Type: ConnectionError | Message: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
25-11-2025 16-36-56,SKIP - FR3,"ERROR | Location: /usr/lib64/python3.9/bdb.py, line 174, in dispatch_exception | Type: BdbQuit | Message: "
25-11-2025 17-25-45,SKIP - FR3,"ERROR | Location: /usr/lib64/python3.9/bdb.py, line 113, in dispatch_line | Type: BdbQuit | Message: "
